nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
8,32,e4m3,rtne,True,-0.4814305139442111,-0.48190976675722125,-0.48108563417208844,0.018569486055788897,-0.8394561382615906,1.4263683479766596,weakening (slower decay than -0.5),False,2000
5,16,e4m3,sr,True,-0.4797476226845343,-0.48020393911247805,-0.47937779822935606,0.020252377315465697,-0.6765886166912218,1.8034263963069275,weakening (slower decay than -0.5),False,2000
5,16,e8m0,sr,False,-0.474239058826523,-0.4746825014985039,-0.47369368401258755,0.025760941173476992,-0.5930343018047366,1.8688617885284788,weakening (slower decay than -0.5),False,2000
15,16,e8m0,sr,True,-0.48881337969391486,-0.48932028591301924,-0.48837745787853143,0.011186620306085138,-0.6317059066310149,1.7928892396372305,weakening (slower decay than -0.5),False,2000
3,32,e8m0,rtne,False,-0.42062945951657765,-0.42085036582520174,-0.42038904068783767,0.07937054048342235,-0.7274766799291219,1.4778773941316683,weakening (slower decay than -0.5),False,2000
8,32,e8m0,sr,True,-0.4832557142955535,-0.4836434603126216,-0.48280603834231955,0.016744285704446527,-0.6188400302263743,1.7355001604200488,weakening (slower decay than -0.5),False,2000
5,32,e8m0,rtne,True,-0.48099484749935156,-0.48138813264072317,-0.4806100153020182,0.019005152500648437,-0.7537362506053511,1.4891595889458147,weakening (slower decay than -0.5),False,2000
gaussian,32,e4m3,rtne,False,-0.4866121555956657,-0.48701804888579625,-0.4862522765023991,0.013387844404334326,-0.8591121515266937,1.4112734540832594,weakening (slower decay than -0.5),False,2000
2,16,e8m0,sr,True,-0.3726791395793149,-0.37294210118054005,-0.37231541029099524,0.12732086042068508,-0.6279919137344613,1.5360294860642725,weakening (slower decay than -0.5),False,2000
15,16,e4m3,rtne,True,-0.4927763156188735,-0.493271126547949,-0.4924157096102279,0.007223684381126527,-0.8518177959590687,1.4757614022078425,weakening (slower decay than -0.5),False,2000
