nu,n,round_mode,rht,n_trials_per_cell,effect_block,effect_block_ci_low,effect_block_ci_high,effect_scale,effect_scale_ci_low,effect_scale_ci_high,interaction,interaction_ci_low,interaction_ci_high,effect_block_significant,effect_scale_significant,interaction_significant,dominant_factor
3,16,sr,False,5000,-0.009241215267161262,-0.023146186020322368,0.010284217103769033,-0.2655136833465992,-0.26700332325126247,-0.2642102138869215,0.00030305463349922235,-0.00259821147363074,0.0031958182551588875,False,True,False,scale
3,16,sr,True,5000,0.0017734498397872223,-0.0008542372193407694,0.004445917011726574,-0.14594261257564645,-0.14730449966048628,-0.14469023427586802,-0.0009039002589870115,-0.003869517462933047,0.0014538649965584395,False,True,False,scale
3,64,rtne,False,5000,-0.11725539016798381,-0.13232897792207599,-0.09767860794087113,-0.29424891240704776,-0.297074848317334,-0.2913698579186851,-0.03035385060129636,-0.032539395280031344,-0.02809605802049766,True,True,True,scale
3,64,rtne,True,5000,-0.04223029130425937,-0.04495985225384592,-0.03880362301345693,-0.12483786125479668,-0.12613126082858644,-0.12375622314093802,-0.025823251163858973,-0.027670514446887486,-0.02366698580300507,True,True,True,scale
3,64,sr,False,5000,-0.1330884815767197,-0.13811305399683826,-0.11560779468138893,-0.2899388852606668,-0.292045215138977,-0.28690767960092384,-0.025016249154601766,-0.027326501117172407,-0.02279101989903224,True,True,True,scale
3,64,sr,True,5000,-0.041759948081991904,-0.043804990881038966,-0.03944828630776811,-0.12391041310363704,-0.12503039953011644,-0.12277308872437236,-0.023249144532016874,-0.025361235863851594,-0.021154959633957974,True,True,True,scale
3,256,rtne,False,5000,-0.15293266930394722,-0.15793792574754573,-0.1368426064766051,-0.3236278805926993,-0.3261758279866951,-0.31869901774434317,-0.02937411281170821,-0.03142359212998054,-0.027433175581978553,True,True,True,scale
3,256,rtne,True,5000,-0.041373448827328296,-0.04391852359244854,-0.039146280878486976,-0.11685186594375274,-0.11777365136086368,-0.11583556151090893,-0.020859615457480274,-0.022881589013333103,-0.019121749299875025,True,True,True,scale
3,256,sr,False,5000,-0.1322777160080948,-0.13987425471861992,-0.1223617309570439,-0.3130108949657062,-0.31644502353541687,-0.31009906148365607,-0.01938905417626735,-0.021501554924703292,-0.01737667697676155,True,True,True,scale
3,256,sr,True,5000,-0.042578243734339605,-0.04424205028217806,-0.039798158999222934,-0.11561923961304865,-0.11670977988958958,-0.11467751275417534,-0.02054788380323913,-0.022474826541403557,-0.018592178370467317,True,True,True,scale
